ball_y,ball_x,vy,vx,paddle_agent_y,paddle_opponent_y,action
0.8415168,0.031021355,0.5149216,0.9850784,0.7633333,0.42666668,1
0.8483824,0.040872138,0.5149216,0.9850784,0.75333333,0.43666667,1
0.85524803,0.050722923,0.5149216,0.9850784,0.74333334,0.44666666,1
0.86211365,0.06057371,0.5149216,0.9850784,0.73333335,0.45666668,1
0.8689793,0.07042449,0.5149216,0.9850784,0.72333336,0.46666667,1
0.8758449,0.080275275,0.5149216,0.9850784,0.7133333,0.47666666,1
0.8827105,0.09012606,0.5149216,0.9850784,0.7033333,0.48666668,1
0.88957614,0.099976845,0.5149216,0.9850784,0.6933333,0.49666667,1
0.89644176,0.10982762,0.5149216,0.9850784,0.68333334,0.50666666,1
0.9033074,0.11967841,0.5149216,0.9850784,0.67333335,0.51666665,1
0.910173,0.1295292,0.5149216,0.9850784,0.66333336,0.52666664,1
0.9170386,0.13937998,0.5149216,0.9850784,0.6533333,0.5366667,1
0.92390424,0.14923076,0.5149216,0.9850784,0.6433333,0.5466667,1
0.93076986,0.15908155,0.5149216,0.9850784,0.6333333,0.5566667,1
0.9376355,0.16893233,0.5149216,0.9850784,0.62333333,0.56666666,1
0.9445011,0.17878312,0.5149216,0.9850784,0.61333334,0.57666665,1
0.9513667,0.1886339,0.5149216,0.9850784,0.60333335,0.58666664,1
0.95823234,0.19848467,0.5149216,0.9850784,0.5933333,0.5966667,1
0.96509796,0.20833546,0.5149216,0.9850784,0.5833333,0.6066667,1
0.9719636,0.21818624,0.5149216,0.9850784,0.5733333,0.6166667,1
0.9788292,0.22803703,-0.5149216,0.9850784,0.56333333,0.62666667,1
0.9719636,0.23788781,-0.5149216,0.9850784,0.55333334,0.63666666,1
0.96509796,0.2477386,-0.5149216,0.9850784,0.54333335,0.64666665,1
0.95823234,0.25758937,-0.5149216,0.9850784,0.53333336,0.6566667,1
0.9513667,0.26744017,-0.5149216,0.9850784,0.5233333,0.6666667,1
0.9445011,0.27729094,-0.5149216,0.9850784,0.5133333,0.6766667,1
0.9376355,0.28714174,-0.5149216,0.9850784,0.50333333,0.68666667,1
0.93076986,0.2969925,-0.5149216,0.9850784,0.49333334,0.69666666,1
0.92390424,0.3068433,-0.5149216,0.9850784,0.48333332,0.70666665,1
0.9170386,0.31669408,-0.5149216,0.9850784,0.47333333,0.71666664,1
